name,description,brand,category,pack_size,price,mrp,sku,requires_rx,inventory_count,manufacturer,weight,tags,image_url
Paracetamol 500mg,Effective fever and pain relief medicine,Crocin,Medicines & Tablets,10 tablets,45,55,CRO-001,false,500,GSK,50g,"fever,pain,headache",https://via.placeholder.com/300x300/4CAF50/FFFFFF?text=Paracetamol
Vitamin D3 60000 IU,High strength Vitamin D supplement,Calcirol,Health & Nutrition,4 sachets,180,220,CAL-002,false,200,Cadila Healthcare,25g,"vitamin,supplement,bone",https://via.placeholder.com/300x300/FF9800/FFFFFF?text=Vitamin+D3
Cough Syrup 100ml,Effective relief from dry and wet cough,Benadryl,Medicines & Tablets,100ml bottle,75,85,BEN-003,false,150,Johnson & Johnson,120g,"cough,cold,syrup",https://via.placeholder.com/300x300/2196F3/FFFFFF?text=Cough+Syrup
Antiseptic Cream 30g,Prevents infection in minor cuts and wounds,Savlon,Personal Care,30g tube,35,42,SAV-004,false,300,ITC,35g,"antiseptic,wound,care",https://via.placeholder.com/300x300/E91E63/FFFFFF?text=Antiseptic
Multivitamin Tablets,Daily essential vitamins and minerals,Revital,Health & Nutrition,30 tablets,250,320,REV-005,false,180,Ranbaxy,150g,"multivitamin,daily,health",https://via.placeholder.com/300x300/9C27B0/FFFFFF?text=Multivitamin
Baby Lotion 200ml,Gentle moisturizing lotion for babies,Johnson's,Baby & Mother Care,200ml,165,185,JOH-006,false,120,Johnson & Johnson,210g,"baby,lotion,moisturizer",https://via.placeholder.com/300x300/FFC107/FFFFFF?text=Baby+Lotion
Digital Thermometer,Accurate digital fever thermometer,Omron,Health Devices,1 piece,450,550,OMR-007,false,80,Omron Healthcare,100g,"thermometer,fever,digital",https://via.placeholder.com/300x300/607D8B/FFFFFF?text=Thermometer
Chyawanprash 500g,Traditional immunity booster,Dabur,Ayurveda & Herbs,500g jar,280,350,DAB-008,false,90,Dabur,520g,"chyawanprash,immunity,ayurveda",https://via.placeholder.com/300x300/795548/FFFFFF?text=Chyawanprash
Bandage Roll 6cm,Sterile cotton bandage for wound dressing,Hansaplast,First Aid,1 roll,25,32,HAN-009,false,250,Beiersdorf,25g,"bandage,first aid,wound",https://via.placeholder.com/300x300/009688/FFFFFF?text=Bandage
Glucometer Kit,Complete blood glucose monitoring kit,Accu-Chek,Diabetic Care,1 kit,1200,1500,ACC-010,false,45,Roche,200g,"glucometer,diabetes,blood sugar",https://via.placeholder.com/300x300/3F51B5/FFFFFF?text=Glucometer
Hand Sanitizer 500ml,70% alcohol based hand sanitizer,Dettol,Personal Care,500ml,120,140,DET-011,false,200,RB,510g,"sanitizer,hand,hygiene",https://via.placeholder.com/300x300/FF5722/FFFFFF?text=Sanitizer
Protein Powder 1kg,Whey protein for muscle building,Optimum Nutrition,Health & Nutrition,1kg container,2800,3200,OPT-012,false,60,Optimum Nutrition,1.05kg,"protein,whey,muscle,fitness",https://via.placeholder.com/300x300/4CAF50/FFFFFF?text=Protein
Baby Diapers Size M,Soft and comfortable baby diapers,Pampers,Baby & Mother Care,60 pieces,650,720,PAM-013,false,100,Procter & Gamble,2.5kg,"diapers,baby,comfort",https://via.placeholder.com/300x300/E91E63/FFFFFF?text=Diapers
Blood Pressure Monitor,Automatic digital BP monitor,Omron,Health Devices,1 piece,2200,2800,OMR-014,false,35,Omron Healthcare,1.2kg,"bp monitor,blood pressure,digital",https://via.placeholder.com/300x300/9E9E9E/FFFFFF?text=BP+Monitor
Turmeric Capsules,Natural anti-inflammatory supplement,Himalaya,Ayurveda & Herbs,60 capsules,180,220,HIM-015,false,150,Himalaya Drug Company,120g,"turmeric,anti-inflammatory,natural",https://via.placeholder.com/300x300/FF9800/FFFFFF?text=Turmeric