name,description,brand,category,pack_size,price,mrp,sku,requires_rx,inventory_count,manufacturer,weight,tags,symptoms,uses,image_url
"Paracetamol 500mg","Fast relief from fever and mild to moderate pain","Crocin","Medicines","10 tablets",45,55,"CRO-001",false,500,"GSK","50g","fever,pain,headache,tablet","fever,headache,body ache,cold","Pain relief and fever reduction","https://via.placeholder.com/300x300/4CAF50/FFFFFF?text=Paracetamol"
"Ibuprofen 400mg","Anti-inflammatory pain relief","Brufen","Medicines","20 tablets",75,90,"BRU-002",false,300,"Abbott","80g","pain,inflammation,tablet","muscle pain,arthritis,joint pain","Anti-inflammatory and pain relief","https://via.placeholder.com/300x300/2196F3/FFFFFF?text=Ibuprofen"
"Cough Syrup 100ml","Effective relief from dry and wet cough","Benadryl","Medicines","100ml bottle",75,85,"BEN-003",false,150,"Johnson & Johnson","120g","cough,cold,syrup","dry cough,wet cough,throat irritation","Cough suppression and throat relief","https://via.placeholder.com/300x300/9C27B0/FFFFFF?text=Cough+Syrup"
"Cetirizine 10mg","Antihistamine for allergy relief","Zyrtec","Medicines","10 tablets",65,80,"ZYR-004",false,200,"UCB","25g","allergy,antihistamine,tablet","runny nose,sneezing,skin rash","Allergy and cold symptoms relief","https://via.placeholder.com/300x300/FF9800/FFFFFF?text=Cetirizine"
"Omeprazole 20mg","Proton pump inhibitor for acidity","Prilosec","Medicines","14 capsules",120,150,"PRI-005",false,180,"Procter & Gamble","35g","acidity,heartburn,capsule","acidity,heartburn,stomach pain","Acid reflux and stomach ulcer treatment","https://via.placeholder.com/300x300/E91E63/FFFFFF?text=Omeprazole"
"Vitamin D3 60000 IU","High strength Vitamin D supplement","Calcirol","Health & Nutrition","4 sachets",180,220,"CAL-006",false,200,"Cadila Healthcare","25g","vitamin,supplement,bone","bone pain,weakness,fatigue","Bone health and immunity support","https://via.placeholder.com/300x300/FF9800/FFFFFF?text=Vitamin+D3"
"Multivitamin Tablets","Daily essential vitamins and minerals","Revital","Health & Nutrition","30 tablets",250,320,"REV-007",false,180,"Ranbaxy","150g","multivitamin,daily,health","fatigue,weakness,low immunity","Daily nutritional supplement","https://via.placeholder.com/300x300/9C27B0/FFFFFF?text=Multivitamin"
"Protein Powder 1kg","Whey protein for muscle building","Optimum Nutrition","Health & Nutrition","1kg container",2800,3200,"OPT-008",false,60,"Optimum Nutrition","1.05kg","protein,whey,muscle,fitness","muscle weakness,low protein","Muscle building and recovery","https://via.placeholder.com/300x300/4CAF50/FFFFFF?text=Protein"
"Calcium + Vitamin D","Bone health supplement","Shelcal","Health & Nutrition","30 tablets",140,170,"SHE-009",false,220,"Torrent Pharmaceuticals","90g","calcium,bone,vitamin d","bone pain,osteoporosis,weakness","Bone strengthening and calcium deficiency","https://via.placeholder.com/300x300/795548/FFFFFF?text=Calcium"
"Iron Tablets","Iron supplement for anemia","Ferrous Sulfate","Health & Nutrition","100 tablets",85,105,"FER-010",false,150,"Generic","120g","iron,anemia,supplement","fatigue,pale skin,weakness","Iron deficiency anemia treatment","https://via.placeholder.com/300x300/607D8B/FFFFFF?text=Iron"
"Antiseptic Cream 30g","Prevents infection in minor cuts","Savlon","Personal Care","30g tube",35,42,"SAV-011",false,300,"ITC","35g","antiseptic,wound,care","cuts,wounds,skin infection","Wound care and infection prevention","https://via.placeholder.com/300x300/E91E63/FFFFFF?text=Antiseptic"
"Hand Sanitizer 500ml","70% alcohol based sanitizer","Dettol","Personal Care","500ml",120,140,"DET-012",false,200,"RB","510g","sanitizer,hand,hygiene","germs,bacteria,hygiene","Hand disinfection and hygiene","https://via.placeholder.com/300x300/FF5722/FFFFFF?text=Sanitizer"
"Moisturizing Lotion","Daily skin moisturizer","Nivea","Personal Care","400ml",180,220,"NIV-013",false,120,"Beiersdorf","420g","moisturizer,skin,lotion","dry skin,rough skin","Daily skin hydration and care","https://via.placeholder.com/300x300/2196F3/FFFFFF?text=Lotion"
"Sunscreen SPF 50","Broad spectrum sun protection","Lakme","Personal Care","100g",250,300,"LAK-014",false,90,"Unilever","105g","sunscreen,spf,protection","sunburn,skin damage","Sun protection and skin care","https://via.placeholder.com/300x300/FFC107/FFFFFF?text=Sunscreen"
"Shampoo Anti-Dandruff","Effective dandruff treatment","Head & Shoulders","Personal Care","400ml",280,340,"H&S-015",false,150,"Procter & Gamble","420g","shampoo,dandruff,hair","dandruff,itchy scalp,hair fall","Dandruff treatment and scalp care","https://via.placeholder.com/300x300/9E9E9E/FFFFFF?text=Shampoo"
"Baby Lotion 200ml","Gentle moisturizing for babies","Johnson's","Baby Care","200ml",165,185,"JOH-016",false,120,"Johnson & Johnson","210g","baby,lotion,moisturizer","dry baby skin,rashes","Baby skin care and moisturizing","https://via.placeholder.com/300x300/FFC107/FFFFFF?text=Baby+Lotion"
"Baby Diapers Size M","Soft and comfortable diapers","Pampers","Baby Care","60 pieces",650,720,"PAM-017",false,100,"Procter & Gamble","2.5kg","diapers,baby,comfort","diaper rash,wetness","Baby hygiene and comfort","https://via.placeholder.com/300x300/E91E63/FFFFFF?text=Diapers"
"Baby Food Cerelac","Nutritious baby cereal","Nestle","Baby Care","300g",140,165,"NES-018",false,80,"Nestle","310g","baby food,cereal,nutrition","malnutrition,growth,development","Baby nutrition and growth","https://via.placeholder.com/300x300/FF9800/FFFFFF?text=Cerelac"
"Baby Soap","Gentle soap for babies","Johnson's","Baby Care","75g",45,55,"JOH-019",false,200,"Johnson & Johnson","80g","baby soap,gentle,mild","sensitive skin,baby hygiene","Baby bathing and skin care","https://via.placeholder.com/300x300/4CAF50/FFFFFF?text=Baby+Soap"
"Baby Oil","Gentle massage oil","Johnson's","Baby Care","200ml",145,170,"JOH-020",false,110,"Johnson & Johnson","210g","baby oil,massage,gentle","dry skin,massage","Baby massage and skin care","https://via.placeholder.com/300x300/795548/FFFFFF?text=Baby+Oil"
"Digital Thermometer","Accurate fever measurement","Omron","Health Devices","1 piece",450,550,"OMR-021",false,80,"Omron Healthcare","100g","thermometer,fever,digital","fever,temperature check","Body temperature measurement","https://via.placeholder.com/300x300/607D8B/FFFFFF?text=Thermometer"
"Blood Pressure Monitor","Automatic digital BP monitor","Omron","Health Devices","1 piece",2200,2800,"OMR-022",false,35,"Omron Healthcare","1.2kg","bp monitor,blood pressure,digital","hypertension,blood pressure","Blood pressure monitoring","https://via.placeholder.com/300x300/9E9E9E/FFFFFF?text=BP+Monitor"
"Glucometer Kit","Complete glucose monitoring","Accu-Chek","Health Devices","1 kit",1200,1500,"ACC-023",false,45,"Roche","200g","glucometer,diabetes,blood sugar","diabetes,high sugar,monitoring","Blood sugar monitoring","https://via.placeholder.com/300x300/3F51B5/FFFFFF?text=Glucometer"
"Pulse Oximeter","Oxygen saturation monitor","Dr. Morepen","Health Devices","1 piece",1800,2200,"MOR-024",false,60,"Dr. Morepen","150g","pulse oximeter,oxygen,spo2","breathing difficulty,oxygen levels","Oxygen level monitoring","https://via.placeholder.com/300x300/FF5722/FFFFFF?text=Oximeter"
"Nebulizer Machine","Respiratory therapy device","Philips","Health Devices","1 piece",3500,4200,"PHI-025",false,25,"Philips","2.8kg","nebulizer,asthma,respiratory","asthma,breathing problems,copd","Respiratory medication delivery","https://via.placeholder.com/300x300/009688/FFFFFF?text=Nebulizer"
"Chyawanprash 500g","Traditional immunity booster","Dabur","Ayurveda","500g jar",280,350,"DAB-026",false,90,"Dabur","520g","chyawanprash,immunity,ayurveda","low immunity,frequent cold,weakness","Immunity boosting and general health","https://via.placeholder.com/300x300/795548/FFFFFF?text=Chyawanprash"
"Triphala Churna","Digestive and detox formula","Patanjali","Ayurveda","100g",65,80,"PAT-027",false,120,"Patanjali","105g","triphala,digestive,ayurveda","constipation,indigestion,detox","Digestive health and detoxification","https://via.placeholder.com/300x300/8BC34A/FFFFFF?text=Triphala"
"Ashwagandha Capsules","Stress relief and energy","Himalaya","Ayurveda","60 capsules",220,280,"HIM-028",false,100,"Himalaya Drug Company","80g","ashwagandha,stress,energy","stress,anxiety,fatigue,weakness","Stress management and energy boost","https://via.placeholder.com/300x300/673AB7/FFFFFF?text=Ashwagandha"
"Turmeric Capsules","Natural anti-inflammatory","Himalaya","Ayurveda","60 capsules",180,220,"HIM-029",false,150,"Himalaya Drug Company","120g","turmeric,anti-inflammatory,natural","joint pain,inflammation,immunity","Anti-inflammatory and immunity support","https://via.placeholder.com/300x300/FF9800/FFFFFF?text=Turmeric"
"Giloy Tablets","Immunity booster herb","Patanjali","Ayurveda","40 tablets",95,120,"PAT-030",false,130,"Patanjali","60g","giloy,immunity,fever","fever,low immunity,weakness","Fever management and immunity boost","https://via.placeholder.com/300x300/4CAF50/FFFFFF?text=Giloy"