name,category,brand,sizes,colors,price,mrp,description,material,gender,image_url,season,care_instructions
Men's Cotton T-Shirt,Men's Clothing,Nike,S M L XL XXL,Black White Navy Red,899,1200,Premium cotton casual t-shirt,100% Cotton,Men,/api/placeholder/200/200,All Season,Machine wash cold
Women's Kurti,Women's Clothing,W,S M L XL,Pink Blue Green Yellow,650,850,Traditional cotton kurti,Cotton Blend,Women,/api/placeholder/200/200,All Season,Hand wash preferred
Kids Denim Jeans,Kids Clothing,Levis,28 30 32 34,Blue Black,1200,1600,Comfortable denim jeans for kids,Denim,Kids,/api/placeholder/200/200,All Season,Machine wash warm
Sports Shoes,Footwear,Adidas,6 7 8 9 10,White Black Blue,3500,4200,Running sports shoes,Mesh Synthetic,Unisex,/api/placeholder/200/200,All Season,Spot clean
Leather Belt,Accessories,Woodland,32 34 36 38,Brown Black,850,1100,Genuine leather belt,Leather,Men,/api/placeholder/200/200,All Season,Leather conditioner
Saree Silk,Ethnic Wear,Kanchipuram,One Size,Red Gold Green Maroon,4500,5500,Traditional silk saree,Pure Silk,Women,/api/placeholder/200/200,All Season,Dry clean only
Winter Jacket,Men's Clothing,Puma,M L XL,Black Navy Blue,2200,2800,Warm winter jacket,Polyester,Men,/api/placeholder/200/200,Winter,Machine wash cold
Handbag Leather,Accessories,Hidesign,One Size,Brown Black Tan,1800,2400,Premium leather handbag,Genuine Leather,Women,/api/placeholder/200/200,All Season,Leather care
Cotton Shirt Formal,Men's Clothing,Peter England,38 40 42 44,White Blue Pink,1100,1400,Formal office shirt,Cotton,Men,/api/placeholder/200/200,All Season,Iron medium heat
Leggings Stretchable,Women's Clothing,Zivame,XS S M L XL,Black Navy Maroon,450,600,Comfortable cotton leggings,Cotton Spandex,Women,/api/placeholder/200/200,All Season,Machine wash cold
Sneakers Canvas,Footwear,Converse,6 7 8 9 10,White Black Red,2800,3200,Classic canvas sneakers,Canvas Rubber,Unisex,/api/placeholder/200/200,All Season,Spot clean
Watch Analog,Accessories,Titan,One Size,Silver Gold Black,3200,4000,Elegant analog wristwatch,Stainless Steel,Unisex,/api/placeholder/200/200,All Season,Dry cloth clean
Kurta Cotton,Men's Clothing,Fabindia,S M L XL,White Cream Blue,850,1200,Traditional cotton kurta,Cotton,Men,/api/placeholder/200/200,All Season,Hand wash preferred
Palazzo Pants,Women's Clothing,Global Desi,S M L XL,Black Blue Printed,750,1000,Comfortable palazzo pants,Rayon,Women,/api/placeholder/200/200,Summer,Machine wash gentle
School Shoes,Footwear,Bata,1 2 3 4 5,Black,1200,1500,Formal school shoes for kids,Leather,Kids,/api/placeholder/200/200,All Season,Polish regularly
Scarf Woolen,Accessories,Monte Carlo,One Size,Red Blue Green Gray,350,450,Warm woolen scarf,Wool,Unisex,/api/placeholder/200/200,Winter,Hand wash only
Tracksuit,Sportswear,Reebok,S M L XL,Black Navy Gray,1800,2300,Comfortable track suit,Polyester,Men,/api/placeholder/200/200,All Season,Machine wash warm
Earrings Gold,Accessories,Tanishq,One Size,Gold,8500,9200,Traditional gold earrings,22K Gold,Women,/api/placeholder/200/200,All Season,Jewelry cleaner
Jeans Skinny,Women's Clothing,Levis,28 30 32 34,Blue Black Gray,2200,2800,Skinny fit denim jeans,Denim Cotton,Women,/api/placeholder/200/200,All Season,Machine wash cold
Polo T-Shirt,Men's Clothing,U.S. Polo,S M L XL,White Red Navy,1100,1450,Casual polo t-shirt,Cotton Pique,Men,/api/placeholder/200/200,All Season,Machine wash cold
Sandals Comfort,Footwear,Crocs,6 7 8 9 10,Blue Black Pink,1800,2200,Comfortable casual sandals,Croslite,Unisex,/api/placeholder/200/200,Summer,Water wash
Cap Baseball,Accessories,Nike,One Size,Black White Red,650,850,Adjustable baseball cap,Cotton Polyester,Unisex,/api/placeholder/200/200,All Season,Hand wash
Nightwear Set,Innerwear,Jockey,S M L XL,Blue Pink White,950,1200,Comfortable night suit,Cotton,Women,/api/placeholder/200/200,All Season,Machine wash warm
Blazer Formal,Men's Clothing,Raymond,38 40 42 44,Black Navy Gray,4500,5500,Formal business blazer,Wool Blend,Men,/api/placeholder/200/200,All Season,Dry clean only
Dupatta Chiffon,Ethnic Wear,Sangam,One Size,Red Pink Blue Gold,450,650,Light chiffon dupatta,Chiffon,Women,/api/placeholder/200/200,All Season,Hand wash gentle