name,category,brand,weight,price,mrp,description,organic,image_url,shelf_life,storage,origin
Basmati Rice Premium,Packaged Food,India Gate,1kg,145,160,Long grain aromatic rice,false,/api/placeholder/200/200,24 months,Cool dry place,India
Organic Bananas,Fruits & Vegetables,Local Farm,1kg,80,90,Fresh ripe bananas,true,/api/placeholder/200/200,3-5 days,Room temperature,Local
Amul Fresh Milk,Dairy Products,Amul,1 liter,56,60,Full cream fresh milk,false,/api/placeholder/200/200,3 days,Refrigerate,India
Britannia Bread,Packaged Food,Britannia,400g,25,28,Whole wheat bread,false,/api/placeholder/200/200,4 days,Cool dry place,India
Tata Tea Gold,Beverages,Tata,1kg,520,550,Premium blend tea,false,/api/placeholder/200/200,24 months,Cool dry place,India
Surf Excel Powder,Household Items,Unilever,1kg,180,200,Washing powder,false,/api/placeholder/200/200,36 months,Dry place,India
Tomatoes Fresh,Fruits & Vegetables,Local,1kg,40,45,Fresh red tomatoes,false,/api/placeholder/200/200,3-4 days,Cool place,Local
Colgate Toothpaste,Personal Care,Colgate,200g,85,95,Dental care toothpaste,false,/api/placeholder/200/200,36 months,Room temperature,India
Maggi Noodles,Packaged Food,Nestle,70g pack,12,14,Instant noodles,false,/api/placeholder/200/200,12 months,Dry place,India
Onions,Fruits & Vegetables,Local,1kg,35,40,Fresh cooking onions,false,/api/placeholder/200/200,2-3 weeks,Cool dry place,Local
Fortune Oil,Packaged Food,Adani,1 liter,140,155,Refined sunflower oil,false,/api/placeholder/200/200,18 months,Cool place,India
Ariel Detergent,Household Items,P&G,1kg,220,240,Laundry detergent powder,false,/api/placeholder/200/200,36 months,Dry place,India
Apples Shimla,Fruits & Vegetables,Kashmir,1kg,120,130,Fresh red apples,false,/api/placeholder/200/200,1 week,Refrigerate,Himachal Pradesh
Lizol Disinfectant,Household Items,Reckitt,500ml,95,110,Floor cleaning disinfectant,false,/api/placeholder/200/200,36 months,Cool place,India
Amul Butter,Dairy Products,Amul,500g,240,260,Fresh white butter,false,/api/placeholder/200/200,6 months,Refrigerate,India
Potato Fresh,Fruits & Vegetables,Local,1kg,25,30,Fresh cooking potatoes,false,/api/placeholder/200/200,2-3 weeks,Cool dark place,Local
Coca Cola,Beverages,Coca Cola,600ml,35,40,Carbonated soft drink,false,/api/placeholder/200/200,12 months,Cool place,India
Parle G Biscuits,Snacks,Parle,200g,20,22,Glucose biscuits,false,/api/placeholder/200/200,9 months,Dry place,India
Dettol Soap,Personal Care,Dettol,125g,45,50,Antibacterial soap,false,/api/placeholder/200/200,36 months,Dry place,India
Green Peas Fresh,Fruits & Vegetables,Local,500g,60,70,Fresh green peas,false,/api/placeholder/200/200,3-4 days,Refrigerate,Local
Tata Salt,Packaged Food,Tata,1kg,22,25,Iodized cooking salt,false,/api/placeholder/200/200,24 months,Dry place,India
Vim Dishwash,Household Items,Hindustan Unilever,500ml,65,75,Liquid dishwash,false,/api/placeholder/200/200,24 months,Room temperature,India
Carrot Fresh,Fruits & Vegetables,Local,1kg,50,55,Fresh orange carrots,false,/api/placeholder/200/200,2-3 weeks,Cool place,Local
Amul Cheese,Dairy Products,Amul,200g,140,155,Processed cheese slices,false,/api/placeholder/200/200,6 months,Refrigerate,India
Sprite,Beverages,Coca Cola,600ml,35,40,Lemon flavored soft drink,false,/api/placeholder/200/200,12 months,Cool place,India
Colgate Brush,Personal Care,Colgate,1 piece,35,40,Soft bristle toothbrush,false,/api/placeholder/200/200,36 months,Dry place,India
Aashirvaad Atta,Packaged Food,ITC,5kg,265,285,Whole wheat flour,false,/api/placeholder/200/200,6 months,Cool dry place,India
Clinic Plus Shampoo,Personal Care,Hindustan Unilever,350ml,140,160,Hair care shampoo,false,/api/placeholder/200/200,36 months,Room temperature,India
Frozen Peas,Frozen Food,McCain,1kg,180,200,Frozen green peas,false,/api/placeholder/200/200,12 months,Keep frozen,Imported
Bru Coffee,Beverages,Hindustan Unilever,200g,185,205,Instant coffee powder,false,/api/placeholder/200/200,24 months,Cool dry place,India