name,brand,category,price,mrp,image_url,requires_rx,description,pack_size,manufacturer
Paracetamol 500mg,Cipla,Medicines,50,60,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=300,false,Effective pain relief and fever reducer,Strip of 10 tablets,Cipla Ltd
Crocin 650mg,GSK,Medicines,75,85,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=300,false,Fast relief from headache and body pain,Strip of 15 tablets,GlaxoSmithKline
Azithromycin 500mg,Zydus,Medicines,180,200,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=300,true,Antibiotic for bacterial infections,Strip of 3 tablets,Zydus Cadila
Vitamin D3 60K IU,HealthKart,Health Supplements,200,250,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=300,false,Weekly vitamin D supplement,4 capsules,HealthKart
Multivitamin Tablets,Revital,Health Supplements,450,500,https://images.unsplash.com/photo-1550572017-edd951b55104?w=300,false,Complete daily nutrition,Bottle of 30 tablets,Ranbaxy
Hand Sanitizer,Dettol,Personal Care,120,140,https://images.unsplash.com/photo-1584744982491-665216d95f8b?w=300,false,70% alcohol based sanitizer,200ml,Reckitt Benckiser
Face Wash,Neutrogena,Personal Care,350,400,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=300,false,Deep clean face wash,100ml,Johnson & Johnson
Baby Lotion,Johnson's,Baby Care,180,200,https://images.unsplash.com/photo-1515488764276-beab7607c1e6?w=300,false,Gentle moisturizing lotion,200ml,Johnson & Johnson
Diaper Size M,Pampers,Baby Care,899,999,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=300,false,Super soft and absorbent,Pack of 56,Procter & Gamble
Blood Pressure Monitor,Omron,Health Devices,2800,3200,https://images.unsplash.com/photo-1559757175-0eb30cd8c063?w=300,false,Digital BP monitor with memory,1 unit,Omron Healthcare
Digital Thermometer,Dr. Morepen,Health Devices,350,400,https://images.unsplash.com/photo-1584362917165-526f4f14b29a?w=300,false,Quick and accurate temperature reading,1 unit,Dr. Morepen
Glucometer Kit,Accu-Chek,Health Devices,1200,1400,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=300,false,Blood glucose monitoring system,1 kit with 10 strips,Roche
Protein Powder Chocolate,MuscleBlaze,Health Supplements,2500,2800,https://images.unsplash.com/photo-1593095948071-474c5cc2989d?w=300,false,Whey protein for muscle building,1kg,MuscleBlaze
Omega 3 Fish Oil,Now Foods,Health Supplements,800,950,https://images.unsplash.com/photo-1559757175-0eb30cd8c063?w=300,false,Essential fatty acids supplement,60 softgels,Now Foods
Chyawanprash,Dabur,Ayurveda,250,280,https://images.unsplash.com/photo-1609081219090-a6d81d3085bf?w=300,false,Traditional immunity booster,500g,Dabur India
Amla Juice,Patanjali,Ayurveda,120,140,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=300,false,Pure amla juice for health,500ml,Patanjali Ayurved
Insulin Pen,Novo Nordisk,Medicines,1500,1650,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=300,true,Insulin delivery device,1 pen,Novo Nordisk
Cough Syrup,Benadryl,Medicines,95,110,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=300,false,Relief from dry cough,100ml,Johnson & Johnson
Eye Drops,Refresh Tears,Medicines,180,200,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=300,false,Lubricating eye drops,10ml,Allergan
Antacid Tablets,ENO,Medicines,45,50,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=300,false,Quick relief from acidity,Strip of 10,GSK